"id","kingdom","phylum","class","subclass","infraclass","subterclass","superorder","superfamily","family","genus","species","subphylum","order","subfamily","superclass","suborder","infraorder","parvorder","subkingdom","infrakingdom","tribe","subgenus","infraphylum","parvphylum","gigaclass","megaclass","phylum_division","subphylum_subdivision","subtribe","section","subsection","subspecies","epifamily"
"153847","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",NA,NA,NA,"Spionidae","Polydora","Polydora websteri",NA,"Spionida",NA,NA,"Spioniformia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"580785","Animalia","Mollusca","Gastropoda","Caenogastropoda",NA,NA,NA,"Vanikoroidea","Eulimidae","Polygireulima","Polygireulima rutila",NA,"Littorinimorpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130510","Animalia","Annelida","Polychaeta","Sedentaria","Scolecida",NA,NA,NA,"Opheliidae","Polyophthalmus","Polyophthalmus pictus",NA,NA,"Ophelininae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290840","Animalia","Cnidaria","Hydrozoa","Hydroidolina",NA,NA,NA,NA,"Corynidae","Polyorchis","Polyorchis haplus","Medusozoa","Anthoathecata",NA,NA,"Capitata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581670","Animalia","Mollusca","Gastropoda","Vetigastropoda",NA,NA,NA,"Trochoidea","Turbinidae","Pomaulax","Pomaulax gibberosus",NA,"Trochida","Turbininae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102223","Animalia","Arthropoda","Malacostraca","Eumalacostraca",NA,NA,"Peracarida","Calliopioidea","Pontogeneiidae","Pontogeneia","Pontogeneia inermis","Crustacea","Amphipoda",NA,"Multicrustacea","Senticaudata","Hadziida","Hadziidira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"550484","Animalia","Arthropoda","Malacostraca","Eumalacostraca",NA,NA,"Peracarida","Calliopioidea","Pontogeneiidae","Pontogeneia","Pontogeneia intermedia","Crustacea","Amphipoda",NA,"Multicrustacea","Senticaudata","Hadziida","Hadziidira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"550487","Animalia","Arthropoda","Malacostraca","Eumalacostraca",NA,NA,"Peracarida","Calliopioidea","Pontogeneiidae","Pontogeneia","Pontogeneia melanophthalma","Crustacea","Amphipoda",NA,"Multicrustacea","Senticaudata","Hadziida","Hadziidira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"550490","Animalia","Arthropoda","Malacostraca","Eumalacostraca",NA,NA,"Peracarida","Calliopioidea","Pontogeneiidae","Pontogeneia","Pontogeneia rostrata","Crustacea","Amphipoda",NA,"Multicrustacea","Senticaudata","Hadziida","Hadziidira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709659","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota",NA,NA,NA,"Staphylinidae","Pontomalota","Pontomalota terminalia","Crustacea","Coleoptera","Aleocharinae","Allotriocarida",NA,NA,NA,NA,NA,"Athetini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228072","Animalia","Nematoda","Enoplea","Enoplia",NA,NA,NA,"Oncholaimoidea","Oncholaimidae","Pontonema","Pontonema problematicum",NA,"Enoplida","Pontonematinae",NA,"Oncholaimina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116467","Animalia","Arthropoda","Copepoda",NA,"Neocopepoda",NA,"Podoplea",NA,"Porcellidiidae","Porcellidium","Porcellidium fimbriatum","Crustacea","Harpacticoida",NA,"Multicrustacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116472","Animalia","Arthropoda","Copepoda",NA,"Neocopepoda",NA,"Podoplea",NA,"Porcellidiidae","Porcellidium","Porcellidium viride","Crustacea","Harpacticoida",NA,"Multicrustacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"469160","Animalia","Bryozoa","Gymnolaemata",NA,NA,NA,NA,"Lepralielloidea","Bryocryptellidae","Porella","Porella columbiana",NA,"Cheilostomatida",NA,NA,"Flustrina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"469162","Animalia","Bryozoa","Gymnolaemata",NA,NA,NA,NA,"Lepralielloidea","Bryocryptellidae","Porella","Porella major",NA,"Cheilostomatida",NA,NA,"Flustrina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
