input,original_name,tsn_species,tsn_genus,tsn_family,tsn_order,tsn_class,tsn_phylum,tsn_kingdom,species,genus,family,order,class,phylum,kingdom,log
Mytilus californianus,Mytilus californianus,79455,79452,79451,79450,79118,69458,202423,californianus,Mytilus,Mytilidae,Mytiloida,Bivalvia,Mollusca,Animalia,Species found
Mytilus trossulus,Mytilus trossulus,567928,79452,79451,79450,79118,69458,202423,trossulus,Mytilus,Mytilidae,Mytiloida,Bivalvia,Mollusca,Animalia,Species found
Pollicipes polymerus,Pollicipes polymerus,89476,89475,621218,621153,621145,82696,202423,polymerus,Pollicipes,Pollicipedidae,Pedunculata,Maxillopoda,Arthropoda,Animalia,Genus found
Semibalanus cariosus,Semibalanus cariosus,89688,89686,89681,621154,621145,82696,202423,cariosus,Semibalanus,Archaeobalanidae,Sessilia,Maxillopoda,Arthropoda,Animalia,Species found
Balanus glandula,Balanus glandula,89609,89600,89599,621154,621145,82696,202423,glandula,Balanus,Balanidae,Sessilia,Maxillopoda,Arthropoda,Animalia,Species found
Halosaccion glandiforme,Halosaccion glandiforme,12825,12824,12750,12718,846511,660046,202422,glandiforme,Halosaccion,Rhodymeniaceae,Rhodymeniales,Florideophyceae,Rhodophyta,Plantae,Genus found
Mastocarpus,Mastocarpus (Gigartina),0,12095,12090,11868,846511,660046,202422,,Mastocarpus,Petrocelidaceae,Gigartinales,Florideophyceae,Rhodophyta,Plantae,From EOL
Corallina vancouvriensis,Corallina vancouvriensis,12323,12322,12303,660049,846511,660046,202422,vancouveriensis,Corallina,Corallinaceae,Corallinales,Florideophyceae,Rhodophyta,Plantae,Genus found
Endocladia muricata,Endocladia muricata,12287,12286,12285,11868,846511,660046,202422,muricata,Endocladia,Endocladiaceae,Gigartinales,Florideophyceae,Rhodophyta,Plantae,Genus found
Ulva,Ulva,0,6559,6501,9331,846521,5414,202422,,Ulva,Ulvaceae,Ulvales,Ulvophyceae,Chlorophyta,Plantae,Genus found
Porphyra,Porphyra,0,11540,11530,11490,846509,660046,202422,,Porphyra,Bangiaceae,Bangiales,Bangiophyceae,Rhodophyta,Plantae,Genus found
Petrocelis ralfsia,Petrocelis Ralfsia,0,11883,11869,11868,846511,660046,202422,,Petrocelis,Cruoriaceae,Gigartinales,Florideophyceae,Rhodophyta,Plantae,Genus found
Acrosiphonia coalita,Acrosiphonia (Spongomorpha) coalita,6726,6721,6720,6409,846521,5414,202422,coalita,Acrosiphonia,Acrosiphoniaceae,Ulotrichales,Ulvophyceae,Chlorophyta,Plantae,Genus found
Diatoms,Diatoms,0,0,0,0,2287,969917,630578,,,,,Bacillariophyceae,Heterokontophyta,Chromista,From EOL
