consumerNum,consumerName,life_stage,consumerCat,trophic_strategy,source,preys_on,parasitic_on,zone,habitat_notes
1974,Cumingia californica,adult,bivalve,filter feeder,Light & Smith,not reported,NA,all,nestler in rocky intertidal zone
1975,Semele decisa,adult,bivalve,filter feeder,Light & Smith,not reported,NA,all,nestling in rocky situations.
1978,Thracia curta,adult,bivalve,filter feeder,Light & Smith,not reported,NA,low,Nestling in rock crevices from the low intertidal zone to offshore
384,Hiatella arctica,adult,boring clam,filter feeder,"Morris, Abbott, & Haderlie; Light & Smith",not reported,NA,low,"crevices, empty pholad burrows, bores if settles on flat rock"
383,Platyodon cancellatus,adult,boring clam,filter feeder,"Morris, Abbott, & Haderlie; Light & Smith",not reported,NA,middle,"protected areas, bores into hard packed clay, mudstone, sandstone"
363,Adula californiensis,adult,boring clam,filter feeder,"Morris, Abbott, & Haderlie; Light & Smith",not reported,NA,low,burrows in soft shale
362,Adula gruneri,adult,boring clam,filter feeder,"Morris, Abbott, & Haderlie",not reported,NA,low,"bores in clay, shale"
386,Chaceia ovoidea,adult,boring clam,filter feeder,"Morris, Abbott, & Haderlie; Light & Smith",not reported,NA,low,"bores in clay, shale"
385,Netastoma rostratum,adult,boring clam,filter feeder,"Morris, Abbott, & Haderlie; Light & Smith",not reported,NA,low,"burrows in soft shale, chert"
387,Parapholas californica,adult,boring clam,filter feeder,"Morris, Abbott, & Haderlie; Light & Smith",not reported,NA,low,"bores in clay, soft sandstone,, shale"
391,Penitella fitchi,adult,boring clam,filter feeder,"Morris, Abbott, & Haderlie; Light & Smith",not reported,NA,low,"bores into shale, chert, nothing known"
390,Penitella penita,adult,boring clam,filter feeder,"Morris, Abbott, & Haderlie; Light & Smith",not reported,NA,middle to low,"bores in clay, soft sandstone,  shale,, concrete"
389,Penitella richardsoni,adult,boring clam,filter feeder,"Morris, Abbott, & Haderlie",not reported,NA,low,"bores in clay, shale"
890,Terebratulina unguicula,adult,brachiopod,filter feeder,Light & Smith,not reported,NA,very low,locally abundant in intertidal in areas of broken rocks
892,Laqueus erythraeus,adult,brachiopod,filter feeder,Light & Smith,not reported,NA,low,intertidally
893,Platidia hornii,adult,brachiopod,filter feeder,Light & Smith,not reported,NA,low,often attached to rocks or shells in low intertidal in northern part of range
891,Terebratalia transversa,adult,brachiopod,filter feeder,Light & Smith,not reported,NA,very low,often attached to the underside of rocks at very low tides in the northern part of range
1196,Argulus borealis,adult,branchiuran,micropredator,Light & Smith,rockfish (actually only reported from Lepidopsetta sp. - Neethling & Avenot reportednt-Oldewage 2016),NA,all,"micropredators of teleosts or amphibians, feeding on blood or tissue fluids, moving from host to host"
1982,Amphiodia akosmos,adult,brittle star,deposit feeder,Light & Smith,not reported,NA,all,under rocks on coarse sand
1983,Amphiodia occidentalis,adult,brittle star,deposit feeder,Light & Smith,not reported,NA,all,"burrow in sediment beneath rocks, seagrass, often in protected tide pools"
165,Ophioplocus esmarki,adult,brittle star,carnivore (scavenger + predator),"Morris, Abbott, & Haderlie; Light & Smith",eats dying or slow moving small animals,NA,low tidepools,NA
1984,Ophiactis simplex,adult,brittle star,deposit feeder,Light & Smith,not reported,NA,all,"Can be exceedingly abundant in sponges, algae,, around serpulid tubes."
160,Ophiopholis aculeata,adult,brittle star,deposit feeder,"Morris, Abbott, & Haderlie",not reported,NA,low,NA
1985,Ophiopholis kennerlyi,adult,brittle star,deposit feeder,Light & Smith,not reported,NA,all,it lives under rocks intertidally
164,Ophiothrix rudis,adult,brittle star,deposit feeder,"Morris, Abbott, & Haderlie; Light & Smith",not reported,NA,low,"Lives under rocks, in coarse sand,, associated with seagrass rhizomes."
163,Ophiothrix spiculata,adult,brittle star,deposit feeder,"Morris, Abbott, & Haderlie; Light & Smith",not reported,NA,low,wide range of substrates
645,Alaria marginata,adult,brown algae,primary producer,Abbott & Hollenberg,not reported,NA,all,locally abundant on exposed rocks
2303,Lessoniopsis littoralis,adult,brown algae,primary producer,Abbott & Hollenberg; UC Berkeley Herbarium - California Seaweeds eFlora,not reported,NA,very low,in a narrow zone between Saccharina sessilis and Laminaria setchelli
2292,Pleurophycus gardneri,adult,brown algae,primary producer,NA,not reported,NA,low,NA
648,Pterygophora californica,adult,brown algae,primary producer,Abbott & Hollenberg,not reported,NA,low,NA
643,Fucus distichus,adult,brown algae,primary producer,Abbott & Hollenberg,not reported,NA,high to middle,"on rocks, sometimes growing mixed with Hesperophycus"
650,Pelvetiopsis limitata,adult,brown algae,primary producer,Abbott & Hollenberg,not reported,NA,high,"usually atop rocks, more rarely on sides, exposed to surf"
652,Sylvetia compressa,adult,brown algae,primary producer,Abbott & Hollenberg; Algaebase,not reported,NA,middle,"locally abundant, forming beds on rocks somewhat protected from surf"
784,Laminaria sinclairii,adult,brown algae,primary producer,Marine Algae of California,not reported,NA,low,"rocky substrates, partial sand"
587,Macrocystis pyrifera,adult,brown algae,primary producer,NA,not reported,NA,low to very low,NA
2305,Nereocystis luetkeana,adult,brown algae,primary producer,Marine Algae of California,not reported,NA,low,isolated plants in low intertidal
644,Postelsia palmaeformis,adult,brown algae,primary producer,Abbott & Hollenberg,not reported,NA,high to middle,in areas exposed to surf
624,Saccharina dentigera,adult,brown algae,primary producer,Abbott & Hollenberg,not reported,NA,low,"rocky substrates; common in groups, moderately exposed areas"
617,Egregia menziesii,adult,brown algae,primary producer,Abbott & Hollenberg,not reported,NA,middle to low,"in protected to moderately exposed areas, mid to low, forming belts in intertidal"
649,Eisenia arborea,adult,brown algae,primary producer,Abbott & Hollenberg,not reported,NA,low,NA
2299,Saccharina sessile,adult,brown algae,primary producer,MARINe,not reported,NA,middle to low,Found on rocks in the mid to low-intertidal zones in sheltered bays to open coasts
651,Analipus japonicus,adult,brown algae,primary producer,Abbott & Hollenberg,not reported,NA,high,upper intertidal rocks in areas exposed to moderate surf
647,Ralfsia sp.,adult,brown algae,primary producer,NA,not reported,NA,NA,NA
798,Aetea paraligulata,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,"central, southern California; shallow water to 100 m"
799,Aetea pseudoanguina,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,"on algae, rock, other bryozoans"
871,Neodakaria islandica,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,NA,"on rock, shell, algae"
872,Neodakaria ordinata,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,"on rock, shell, algae;"
882,Schizomavella robertsonae,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,NA
883,Schizomavella triavicularia,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,"on rock, shell"
884,Schizosmittina pedicellata,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,"on rock, shell"
877,Porella columbiana,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,intertidal on floating kelp
878,Porella major,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,on shell
879,Porella porifera,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,"on rock, shell"
