ID,TSN,Name,Phylum,habitat
455,174624,Oceanodroma,Chordata,nearshore
456,174717,Phalacrocorax auritus,Chordata,nearshore
457,174725,Phalacrocorax pelagicus,Chordata,nearshore
458,174987,Cygnus columbianus,Chordata,nearshore
459,174999,Branta canadensis,Chordata,nearshore
460,175011,Branta bernicla,Chordata,nearshore
461,175042,Chen canagica,Chordata,nearshore
462,175062,Anas,Chordata,nearshore
463,175130,Aythya marila,Chordata,nearshore
464,175140,Bucephala,Chordata,nearshore
465,175147,Clangula hyemalis,Chordata,nearshore
466,175149,Histrionicus histrionicus,Chordata,nearshore
467,175153,Polysticta stelleri,Chordata,nearshore
468,175155,Somateria mollissima,Chordata,nearshore
469,175160,Somateria spectabilis,Chordata,nearshore
470,175163,Melanitta fusca,Chordata,nearshore
471,175170,Melanitta perspicillata,Chordata,nearshore
472,175171,Melanitta nigra,Chordata,nearshore
473,175184,Mergus,Chordata,nearshore
474,175373,Buteo lagopus,Chordata,nearshore
475,175407,Aquila chrysaetos,Chordata,nearshore
476,175420,Haliaeetus leucocephalus,Chordata,nearshore
477,175599,Falco rusticolus,Chordata,nearshore
478,175604,Falco peregrinus,Chordata,nearshore
479,176177,Grus canadensis,Chordata,nearshore
480,176475,Haematopus bachmani,Chordata,nearshore
481,176506,Charadrius semipalmatus,Chordata,nearshore
482,176614,Tringa melanoleuca,Chordata,nearshore
483,176630,Tringa incana,Chordata,nearshore
484,176641,Calidris,Chordata,nearshore
485,176687,Limosa lapponica,Chordata,nearshore
486,176698,Gallinago,Chordata,nearshore
487,176735,Phalaropus lobatus,Chordata,nearshore
488,176793,Stercorarius parasiticus,Chordata,nearshore
489,176808,Larus hyperboreus,Chordata,nearshore
490,176814,Larus glaucescens,Chordata,nearshore
491,176824,Larus argentatus,Chordata,nearshore
492,176832,Larus canus,Chordata,nearshore
493,176875,Rissa tridactyla,Chordata,nearshore
494,176885,Sterna,Chordata,nearshore
495,176974,Uria aalge,Chordata,nearshore
496,176978,Uria lomvia,Chordata,nearshore
497,176991,Cepphus columba,Chordata,nearshore
498,176996,Brachyramphus marmoratus,Chordata,nearshore
499,177008,Synthliboramphus antiquus,Chordata,nearshore
500,177013,Ptychoramphus aleuticus,Chordata,nearshore
501,177019,Aethia cristatella,Chordata,nearshore
502,177029,Fratercula corniculata,Chordata,nearshore
503,177032,Fratercula cirrhata,Chordata,nearshore
504,177935,Asio flammeus,Chordata,nearshore
505,178511,Lanius excubitor,Chordata,nearshore
506,179492,Melospiza melodia,Chordata,nearshore
507,179526,Calcarius lapponicus,Chordata,nearshore
508,179531,Plectrophenax,Chordata,nearshore
509,179725,Corvus corax,Chordata,nearshore
510,554029,Aethia psittacula,Chordata,nearshore
511,554127,Anthus rubescens,Chordata,nearshore
512,686683,Bubo scandiacus,Chordata,nearshore
513,78536,Cinclus mexicanus,Chordata,nearshore
