publication_year,firstauthor,title,reference,reference_number,author,year,link_or_doi
2010,Verdín,A qualitative assessment of sponge-feeding organisms from the mexican pacific coast,"Verdín C.J., Padilla. 2010. A qualitative assessment of sponge-feeding organisms from the mexican pacific coast. The Open Marine Biology Journal. 4. 1. 39-46. 10.2174/1874450801004010039",129,"VerdiÃÅn Padilla C.J.*, Carballo J.L. and Camacho M.L.",2010,NA
2015,Horn,A shallow-diving seabird predator as an indicator of prey availability in southern california waters: a longitudinal study,"Horn, M. H.; Whitcombe, C. D.. 2015. A shallow-diving seabird predator as an indicator of prey availability in southern california waters: a longitudinal study. Journal of Marine Systems. 146. 89-98. 10.1016/j.jmarsys.2014.08.012",151,M.H.HornC.D.Whitcombe,2015,NA
1982,Birkeland,A stable system of predation on a holothurian by four asteroids and their top predator,"Birkeland, Charles; Dayton, Paul K.; Engstrom, Norman A.. 1982. A stable system of predation on a holothurian by four asteroids and their top predator. Australian Museum Memoir. 16. 175-189. 10.3853/j.0067-1967.16.1982.365",318,"Birkeland, Dayton, and Engstrom",1982,NA
NA,NA,A study on amphipods from the superfamily stegocephaloidea dana 1852 from the northeastern pacific region: systematics and distributional ecology,"Moore, P. g. (1992). A study on amphipods from the superfamily Stegocephaloidea Dana 1852 from the northeastern Pacific region: Systematics and distributional ecology. Journal of Natural History, 26(5), 905–936. https://doi.org/10.1080/00222939200770551",434,Moore,1992,NA
1978,Scanland,"A supplementary description of pinnixa tomentosa and comparison with the geographically adjacent pinnixa tubicola (brachyura, pinnotheridae)","Scanland, Thomas Boyd; Hopkins, T. S.. 1978. A supplementary description of pinnixa tomentosa and comparison with the geographically adjacent pinnixa tubicola (brachyura, pinnotheridae). Proceedings of the Biological Society of Washington. 91. 636-641",NA,NA,NA,NA
1951,Dunlap,A survey of the helminth parasites of leptocottus armatus armatus girard,"Dunlap, Delpha Deane. 1951. A survey of the helminth parasites of leptocottus armatus armatus girard. Oregon State University",147,"Dunlap, Delpha Deane",1951,NA
NA,NA,"A survey of zanclea, halocoryne and zanclella (cnidaria, hydrozoa, anthomedusae, zancleidae) with description of new species","Boero, F., Bouillon, J., & Gravili, C. (2000). A survey of Zanclea, Halocoryne and Zanclella (Cnidaria, Hydrozoa, Anthomedusae, Zancleidae) with description of new species. Italian Journal of Zoology, 67(1), 93–124. https://doi.org/10.1080/11250000009356301",243,Boero,2000,https://doi.org/10.1080/11250000009356301
2007,Kuris,Acanthocephala,"Kuris, Armand M.. 2007. Acanthocephala. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 275-275",NA,NA,NA,NA
,,"Actiniae collected by the s.s. ""Huxley"" in the north sea during the summer of 1907","Walton, C. L. (1908). Actiniae collected by the s.s. “Huxley” in the North Sea during the summer of 1907. Journal of the Marine Biological Association of the United Kingdom, 8(2), 215–226. https://doi.org/10.1017/S0025315400072532",46,Chas. L. Walton,NA,NA
1980,Wells,Activity pattern as a mechanism of predator avoidance in two species of acmaeid limpet,"Wells, Raymond A.. 1980. Activity pattern as a mechanism of predator avoidance in two species of acmaeid limpet. Journal of Experimental Marine Biology and Ecology. 48. 2. 151-168. 10.1016/0022-0981(80)90014-3",142,Raymond A.Wells1,1980,NA
1988,Topp,Adaptations of coleoptera to the marine environment. Ii. Observations on rove beetles (staphylinidae) from rocky shores,"Topp, Werner; Ring, Richard A.. 1988. Adaptations of coleoptera to the marine environment. Ii. Observations on rove beetles (staphylinidae) from rocky shores. Canadian Journal of Zoology. 66. 11. 2469-2474. 10.1139/z88-366",351,Topp and Ring,1988,NA
1978,McDonald,Additional notes on the food of some california nudibranchs with a summary of known food habits of california species,"McDonald, Gary R.; Nybakken, James W.. 1978. Additional notes on the food of some california nudibranchs with a summary of known food habits of california species. The Veliger. 21. 1. 110-119",162,McDonald and Nybakken,1978,NA
2016,Kienberger,"Aeolidia papillosa (linnaeus, 1761) (mollusca: heterobranchia: nudibranchia), single species or a cryptic species complex? A morphological and molecular study","Kienberger, Karen; Carmona, Leila; Pola, Marta; Padula, Vinicius; Gosliner, Terrence M.; Cervera, Juan Lucas. 2016. Aeolidia papillosa (linnaeus, 1761) (mollusca: heterobranchia: nudibranchia), single species or a cryptic species complex? A morphological and molecular study. Zoological Journal of the Linnean Society. 177. 3. 481-506. 10.1111/zoj.12379",NA,NA,NA,NA
2015,Piazzola,Aequorea victoria,"Piazzola, C. D.. 2015. Aequorea victoria. Oregon Estuarine Invertebrates: Rudys' Illustrated Guide to Common Species. University of Oregon Libraries and Oregon Institute of Marine Biology",NA,NA,NA,NA
NA,NA,Aerobic metabolism and dietary ecology of octopus rubescens,"Onthank, K. L. (2008). Aerobic metabolism and dietary ecology of Octopus rubescens [Master of Science]. Walla Walla University.",325,Onthank,2008,NA
2021,Colunga-Ramírez,"Aggregata polibraxiona n. sp. (Apicomplexa: aggregatidae) from octopus bimaculatus verrill, 1883 (mollusca: cephalopoda) from the gulf of california, mexico","Colunga-Ramírez, Graciela Esmeralda; Martínez-Aquino, Andrés; Flores-López, Carlos Alberto; Gestal, Camino; Azevedo, Carlos; Castellanos-Martínez, Sheila. 2021. Aggregata polibraxiona n. sp. (Apicomplexa: aggregatidae) from octopus bimaculatus verrill, 1883 (mollusca: cephalopoda) from the gulf of california, mexico. European Journal of Protistology. 81. 125825. 10.1016/j.ejop.2021.125825",169,"
Graciela Esmeralda Colunga-Ram√≠rezAndr√©s Mart√≠nez-AquinoCarlos Alberto Flores-L√≥pezCamino GestalCarlos AzevedoSheila Castellanos-Mart√≠nez",2021,NA
1978,Kritsky,"Allencotyla pricei sp. n. (Microcotyloidea: heteraxinidae) from the gills of the pile surfperch, damalichthys vacca (girard), in southern california","Kritsky, Delane C.; Noble, Elmer R.; Moser, Mike. 1978. Allencotyla pricei sp. n. (Microcotyloidea: heteraxinidae) from the gills of the pile surfperch, damalichthys vacca (girard), in southern california. The Journal of Parasitology. 64. 1. 45-48. 10.2307/3279607",271,"Kritsky, Noble, & Moser",1978,NA
1953,Mitchell,An analysis of stomach contents of california tide pool fishes,"Mitchell, D. F.. 1953. An analysis of stomach contents of california tide pool fishes. American Midland Naturalist. 49. 3. 862-871. Doi 10.2307/2485213",7,"Mitchell, Donald F.",1953,NA
1979,Harris,An analysis of the defensive mechanisms observed in the anemone anthopleura elegantissima in response to its nudibranch predator aeolidia papillosa,"Harris, Larry G.; Howe, Nathan R.. 1979. An analysis of the defensive mechanisms observed in the anemone anthopleura elegantissima in response to its nudibranch predator aeolidia papillosa. The Biological Bulletin. 157. 1. 138-152. 10.2307/1541083",4,LARRY G. HARRIS and NATHAN R. HOWE,1979,NA
NA,NA,"An anatomical description of eulima bilineata alder with remarks on and a revision of pyramidelloides nevill (mollusca, prosobranchia, eulimidae)","Warén, A. (1983). An Anatomical Description of Eulima bilineata Alder with Remarks on and a Revision of Pyramidelloides Nevill (Mollusca, Prosobranchia, Eulimidae). Zoologica Scripta, 12(4), 273–294. https://doi.org/10.1111/j.1463-6409.1983.tb00511.x",54,ANDERS WAR√âN,1983,NA
1968,Sphon,"An annotated list of nudibranchs and their allies from santa barbara county, ca","Sphon, Gale G.; Lance, James R.. 1968. An annotated list of nudibranchs and their allies from santa barbara county, ca. Proceedings of the California Academy of Sciences. 36. 3. 73-84",183,"James R. Lance, 
Gale G. Sphon, Jr.",1968,NA
2013,Maguire,An ectoparasitic snail (evalea tenuisculpta) infects red abalone (haliotis rufescens) in northern california,"Maguire, Athena; Rogers-Bennett, Laura. 2013. An ectoparasitic snail (evalea tenuisculpta) infects red abalone (haliotis rufescens) in northern california. California Fish and Game. 99. 80-89",264,ATHENA K. MAGUIRE AND LAURA ROGERS-BENNETT*,2012,NA
2007,Cook,Annelida,"Cook, David G.; Brinkhurst, Ralph O.; Erséus, Christer; Burreson, Eugene M.; Blake, James A.; Ruff, Eugene. 2007. Annelida. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 298-410",NA,NA,NA,NA
1988,Wicksten,"Antennary cast-net feeding in california hermit crabs (decapoda, paguridea)","Wicksten, Mary K.. 1988. Antennary cast-net feeding in california hermit crabs (decapoda, paguridea). Crustaceana. 54. 3. 321-322",296,Wicksten,1988,NA
1986,Pettit,"Antineoplastic agents, 116. An evaluation of the marine ascidian aplidium californicum","Pettit, George R.; Leet, John E.; Herald, Cherry L.; Kamano, Yoshiaki; Doubek, Dennis L.. 1986. Antineoplastic agents, 116. An evaluation of the marine ascidian aplidium californicum. Journal of Natural Products. 49. 2. 231-235. 10.1021/np50044a006",81,Pettit et al,1986,NA
1968,Beondé,"Aplysia vaccaria, a new host for the pinnotherid crab opisthopus transversus","Beondé, Anthon Craig. 1968. Aplysia vaccaria, a new host for the pinnotherid crab opisthopus transversus. The Veliger. 10. 375-378",133,Anthon Craig Beonde,1968,NA
2007,Martin,Arthropoda,"Martin, Joel W.; Carlton, James T.; Hessler, Robert; Belk, Denton; Cohen, Anne C.; Peterson, Dawn E.; Maddocks, Rosalie F.; Cordell, Jeffery R.; Kuris, Armand M.; Newman, William A.; Haney, Todd A.; Vetter, Eric W.; Modlin, Richard F.; Watling, Les; Brusca, Richard C.; Coelho, V√¢nia R.; Taiti, Stefano; Chapman, John W.; Bousfield, Edward L.; Bowers, Darl E.; Lavaniegos, Bertha E.; Caldwell, Roy L.; Quetin, Langdon; Ross, Robin; Sadeghian, Patricia S.; Campos, Ernesto; Child, C. Allan; Hedhpeth, Joel W.; Newell, Irwin M.; Bartsch, Ilse; Lee, Vincent F.; Daly, Howell V.; Strum, Helmut; Christiansen, Kenneth; Bellinger, Howel; Schlinger, Evert I.; White, David; Nelson, Amanda; Hoffman, Richard. 2007. Arthropoda. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 411-693",NA,NA,NA,NA
1969,Keith,Aspects of feeding in caprella californica stimpson and caprella equilibra say (amphipoda),"Keith, Donald E.. 1969. Aspects of feeding in caprella californica stimpson and caprella equilibra say (amphipoda). Crustaceana. 16. 2. 119-124",255,Donald Keith,1969,NA
1962,Hazlett,Aspects of the biology of snapping shrimp (alpheus and synalpheus),"Hazlett, Brian A.. 1962. Aspects of the biology of snapping shrimp (alpheus and synalpheus). 10.1163/156854062X00094",432,Hazlett,1962,NA
1960,Knudsen,Aspects of the ecology of the california pebble crabs (crustacea: xanthidae),"Knudsen, Jens W.. 1960. Aspects of the ecology of the california pebble crabs (crustacea: xanthidae). Ecological Monographs. 30. 2. 165-185. 10.2307/1948550",293,Knudsen,1960,NA
